MSKYCODE,http://www.spoj.pl/problems/MSKYCODE,squarefree numbers inclusion-exclusion
MSTRING,http://www.spoj.pl/problems/MSTRING,dp medium
MTOTALF,http://www.spoj.pl/problems/MTOTALF,maxflow easy
MUL2COM,http://www.spoj.pl/problems/MUL2COM,big integer
MYSTIC,http://www.spoj.pl/problems/MYSTIC,math dp
MZVRK,http://www.spoj.pl/problems/MZVRK,adhoc easy
NDIVPHI,http://www.spoj.pl/problems/NDIVPHI,math number theory
NETADMIN,http://www.spoj.pl/problems/NETADMIN,maxflow
NG0FRCTN,http://www.spoj.pl/problems/NG0FRCTN,adhoc
NGM2,http://www.spoj.pl/problems/NGM2,number theory inclusion exclusion
NGON,http://www.spoj.pl/problems/NGON,dp
NHAY,http://www.spoj.pl/problems/NHAY,KMP
NICEDAY,http://www.spoj.pl/problems/NICEDAY,segment tree
NOCHANGE,http://www.spoj.pl/problems/NOCHANGE,dp hard
NOTATRI,http://www.spoj.pl/problems/NOTATRI,binary search
NUMQDW,http://www.spoj.pl/problems/NUMQDW,matrix exponentiation
ODDDIV,http://www.spoj.pl/problems/ODDDIV,number theory precomputation fast IO
ONEZERO,http://www.spoj.pl/problems/ONEZERO,bfs simple
ORDERS,http://www.spoj.pl/problems/ORDERS,bit
PA06ANT,http://www.spoj.pl/problems/PA06ANT,graph theory matrix exponentiation
PAIRGRPH,http://www.spoj.pl/problems/PAIRGRPH,brute force
PARADOX,http://www.spoj.pl/problems/PARADOX,graph theory adhoc
PARTIT,http://www.spoj.pl/problems/PARTIT,dp easy
PARTPALI,http://www.spoj.pl/problems/PARTPALI,dp
PARTY,http://www.spoj.pl/problems/PARTY,dp easy
PATHEADS,http://www.spoj.pl/problems/PATHEADS,concept of bucket sort and sieve
PATULJCI,http://www.spoj.pl/problems/PATULJCI,binary search random
PDECODE,http://www.spoj.pl/problems/PDECODE,permutation exponentiation
PERIOD,http://www.spoj.pl/problems/PERIOD,KMP
PERMUT1,http://www.spoj.pl/problems/PERMUT1,dp
PFDEP,http://www.spoj.pl/problems/PFDEP,topological sort
PHIDIAS,http://www.spoj.pl/problems/PHIDIAS,dp easy
PHONELST,http://www.spoj.pl/problems/PHONELST,sorting
PHONY,http://www.spoj.pl/problems/PHONY,number theory
PIE,http://www.spoj.pl/problems/PIE,binary search easy
PIGBANK,http://www.spoj.pl/problems/PIGBANK,dp easy ugly optimisations needed
PIZZALOC,http://www.spoj.pl/problems/PIZZALOC,bitmasks easy
PLHOP,http://www.spoj.pl/problems/PLHOP,matrix exponentiation
PON,http://www.spoj.pl/problems/PON,miller rabin primality testing
POTHOLE,http://www.spoj.pl/problems/POTHOLE,bfs topological sort
PRHYME,http://www.spoj.pl/problems/PRHYME,tries
PRIME1,http://www.spoj.pl/problems/PRIME1,number theory
PRO,http://www.spoj.pl/problems/PRO,set
PT07X,http://www.spoj.pl/problems/PT07X,dp on tree
PYRA,http://www.spoj.pl/problems/PYRA,adhoc graph theory
QCJ2,http://www.spoj.pl/problems/QCJ2,dp
QUEEN,http://www.spoj.pl/problems/QUEEN,bfs hard
QUERYSTR,http://www.spoj.pl/problems/QUERYSTR,prefix table
QUEST4,http://www.spoj.pl/problems/QUEST4,matching
RACETIME,http://www.spoj.pl/problems/RACETIME,adhoc data-structure
RAIN3,http://www.spoj.pl/problems/RAIN3,dp easy
RAINBOW,http://www.spoj.pl/problems/RAINBOW,dp knapsack on components easy
RATING,http://www.spoj.pl/problems/RATING,bit
REC,http://www.spoj.pl/problems/REC,big integer math
RELINETS,http://www.spoj.pl/problems/RELINETS,brute force disjoint sets
REMGAME,http://www.spoj.pl/problems/REMGAME,recursion memoisation easy weak test data
RENT,http://www.spoj.pl/problems/RENT,dp binary search to convert n^2 to nlogn
RESN04,http://www.spoj.pl/problems/RESN04,adhoc math
RIGHTTRI,http://www.spoj.pl/problems/RIGHTTRI,binary search
RLM,http://www.spoj.pl/problems/RLM,beginner easy rubbish
ROADNET,http://www.spoj.pl/problems/ROADNET,beginner easy
ROBBERY2,http://www.spoj.pl/problems/ROBBERY2,math adhoc
ROCK,http://www.spoj.pl/problems/ROCK,easy dp
RRSCHED,http://www.spoj.pl/problems/RRSCHED,datastructure BIT efficient simulation
SAMER08A,http://www.spoj.pl/problems/SAMER08A,3 dijkstras basic graph theory
SAMER08C,http://www.spoj.pl/problems/SAMER08C,dp medium
SAMER08D,http://www.spoj.pl/problems/SAMER08D,dp hard
SAMER08E,http://www.spoj.pl/problems/SAMER08E,beginner easy
